cid,pref,city,住居表示実施状況(entire/partial/not yet),調査年月日,実施状況公開情報,"公開フォーマット
（PDF、CSVなど）",国土地理院住居表示住所デジタルデータ,MEMO
1101,北海道,札幌市 中央区,一部地域で実施,2021/08/17,https://www.city.sapporo.jp/shimin/koseki/jukyo-hyoji/jisshichiku/jukyohyoji-jisshichiku-chuo.html,HTML,https://saigai.gsi.go.jp/jusho/view/pref/city/01101.html,
1102,北海道,札幌市 北区,一部地域で実施,2021/08/17,https://www.city.sapporo.jp/shimin/koseki/jukyo-hyoji/jisshichiku/jukyohyoji-jisshichiku-kita.html,HTML,https://saigai.gsi.go.jp/jusho/view/pref/city/01102.html,
1103,北海道,札幌市 東区,一部地域で実施,2021/08/17,https://www.city.sapporo.jp/shimin/koseki/jukyo-hyoji/jisshichiku/jukyohyoji-jisshichiku-higashi.html,HTML,https://saigai.gsi.go.jp/jusho/view/pref/city/01103.html,
1104,北海道,札幌市 白石区,一部地域で実施,2021/08/17,https://www.city.sapporo.jp/shimin/koseki/jukyo-hyoji/jisshichiku/jukyohyoji-jisshichiku-shiroishi.html,HTML,https://saigai.gsi.go.jp/jusho/view/pref/city/01104.html,
1105,北海道,札幌市 豊平区,一部地域で実施,2021/08/17,https://www.city.sapporo.jp/shimin/koseki/jukyo-hyoji/jisshichiku/jukyohyoji-jisshichiku-toyohira.html,HTML,https://saigai.gsi.go.jp/jusho/view/pref/city/01105.html,
1106,北海道,札幌市 南区,一部地域で実施,2021/08/17,https://www.city.sapporo.jp/shimin/koseki/jukyo-hyoji/jisshichiku/jukyohyoji-jisshichiku-minami.html,HTML,https://saigai.gsi.go.jp/jusho/view/pref/city/01106.html,
1107,北海道,札幌市 西区,一部地域で実施,2021/08/17,https://www.city.sapporo.jp/shimin/koseki/jukyo-hyoji/jisshichiku/jukyohyoji-jisshichiku-nishi.html,HTML,https://saigai.gsi.go.jp/jusho/view/pref/city/01107.html,
1108,北海道,札幌市 厚別区,一部地域で実施,2021/08/17,https://www.city.sapporo.jp/shimin/koseki/jukyo-hyoji/jisshichiku/jukyohyoji-jisshichiku-atsubetsu.html,HTML,https://saigai.gsi.go.jp/jusho/view/pref/city/01108.html,
1109,北海道,札幌市 手稲区,一部地域で実施,2021/08/17,https://www.city.sapporo.jp/shimin/koseki/jukyo-hyoji/jisshichiku/jukyohyoji-jisshichiku-teine.html,HTML,https://saigai.gsi.go.jp/jusho/view/pref/city/01109.html,
1110,北海道,札幌市 清田区,一部地域で実施,2021/08/17,https://www.city.sapporo.jp/shimin/koseki/jukyo-hyoji/jisshichiku/jukyohyoji-jisshichiku-kiyota.html,HTML,https://saigai.gsi.go.jp/jusho/view/pref/city/01110.html,
1202,北海道,函館市,一部地域で実施,2021/09/29,https://www.city.hakodate.hokkaido.jp/docs/2014030700111/,HTML,https://saigai.gsi.go.jp/jusho/view/pref/city/01202.html,
1203,北海道,小樽市,一部地域で実施,2021/12/05,,none,none,住居表示が実施されているが実施状況が掲載されていない
1204,北海道,旭川市,一部地域で実施,2021/09/29,https://www.city.asahikawa.hokkaido.jp/kurashi/401/405/p006225_d/fil/jissikuiki.pdf,PDF,https://saigai.gsi.go.jp/jusho/view/pref/city/01204.html,
1205,北海道,室蘭市,全域実施,2021/09/29,none,none,https://saigai.gsi.go.jp/jusho/view/pref/city/01205.html,
1206,北海道,釧路市,一部地域で実施,2021/09/29,https://www.city.kushiro.lg.jp/common/000016291.pdf,PDF,https://saigai.gsi.go.jp/jusho/view/pref/city/01206.html,
1207,北海道,帯広市,一部地域で実施,2021/09/29,none,none,https://saigai.gsi.go.jp/jusho/view/pref/city/01207.html,
1208,北海道,北見市,一部地域で実施,2021/09/29,https://www.city.kitami.lg.jp/administration/work/detail.php?content=7773,HTML,https://saigai.gsi.go.jp/jusho/view/pref/city/01208.html,
1209,北海道,夕張市,未実施,2021/09/29,none,none,none,
1210,北海道,岩見沢市,一部地域で実施,2021/09/29,https://www.city.iwamizawa.hokkaido.jp/cassette_content/content_20170706_095624.pdf,PDF,https://saigai.gsi.go.jp/jusho/view/pref/city/01210.html,
1211,北海道,網走市,一部地域で実施,2021/09/29,https://www.city.abashiri.hokkaido.jp/400toshi/010juukyohyouji.html,HTML,https://saigai.gsi.go.jp/jusho/view/pref/city/01211.html,
1212,北海道,留萌市,一部地域で実施,2021/09/29,none,none,https://saigai.gsi.go.jp/jusho/view/pref/city/01212.html,
1213,北海道,苫小牧市,一部地域で実施,2021/09/29,https://www.city.tomakomai.hokkaido.jp/files/00002200/00002243/H30jyuukyohyouji-keika.pdf,PDF,https://saigai.gsi.go.jp/jusho/view/pref/city/01213.html,
1214,北海道,稚内市,一部地域で実施,2021/09/29,none,none,https://saigai.gsi.go.jp/jusho/view/pref/city/01214.html,
