cid,都道府県名,市町村名,住居表示実施状況,調査年月日,実施状況公開URL,公開形式,国土地理院住居表示住所デジタルデータURL,MEMO
1229,北海道,富良野市,一部地域で実施,2021/09/29,http://www.city.furano.hokkaido.jp/docs/2013071100072/,HTML,https://saigai.gsi.go.jp/jusho/view/pref/city/01229.html,
1219,北海道,紋別市,一部地域で実施,2021/09/29,https://mombetsu.jp/sisei/todokede/tatemono/juukyohyouji.html,HTML,https://saigai.gsi.go.jp/jusho/view/pref/city/01219.html,
1211,北海道,網走市,一部地域で実施,2021/09/29,https://www.city.abashiri.hokkaido.jp/400toshi/010juukyohyouji.html,HTML,https://saigai.gsi.go.jp/jusho/view/pref/city/01211.html,
1204,北海道,旭川市,一部地域で実施,2021/09/29,https://www.city.asahikawa.hokkaido.jp/kurashi/401/405/p006225_d/fil/jissikuiki.pdf,PDF,https://saigai.gsi.go.jp/jusho/view/pref/city/01204.html,
1215,北海道,美唄市,一部地域で実施,2021/09/29,https://www.city.bibai.hokkaido.jp/uploaded/attachment/1336.pdf,PDF,https://saigai.gsi.go.jp/jusho/view/pref/city/01215.html,
1224,北海道,千歳市,一部地域で実施,2021/09/29,https://www.city.chitose.lg.jp/fs/2/3/4/8/7/9/_/_________.pdf,PDF,https://saigai.gsi.go.jp/jusho/view/pref/city/01224.html,
1231,北海道,恵庭市,一部地域で実施,2021/09/30,https://www.city.eniwa.hokkaido.jp/kurashi/kurashi_tetsuzuki/juminhyo_koseki_jukyohyoji/jukyohyoji/3747.html,HTML,https://saigai.gsi.go.jp/jusho/view/pref/city/01231.html,
1228,北海道,深川市,一部地域で実施,2021/09/29,https://www.city.fukagawa.lg.jp/cms/section/shimin/ik75k40000005679-att/ik75k400000056cx.pdf,PDF,https://saigai.gsi.go.jp/jusho/view/pref/city/01228.html,
1202,北海道,函館市,一部地域で実施,2021/09/29,https://www.city.hakodate.hokkaido.jp/docs/2014030700111/,HTML,https://saigai.gsi.go.jp/jusho/view/pref/city/01202.html,
1236,北海道,北斗市,一部地域で実施,2021/09/30,https://www.city.hokuto.hokkaido.jp/docs/1239.html,HTML,https://saigai.gsi.go.jp/jusho/view/pref/city/01236.html,
1210,北海道,岩見沢市,一部地域で実施,2021/09/29,https://www.city.iwamizawa.hokkaido.jp/cassette_content/content_20170706_095624.pdf,PDF,https://saigai.gsi.go.jp/jusho/view/pref/city/01210.html,
1208,北海道,北見市,一部地域で実施,2021/09/29,https://www.city.kitami.lg.jp/administration/work/detail.php?content=7773,HTML,https://saigai.gsi.go.jp/jusho/view/pref/city/01208.html,
1206,北海道,釧路市,一部地域で実施,2021/09/29,https://www.city.kushiro.lg.jp/common/000016291.pdf,PDF,https://saigai.gsi.go.jp/jusho/view/pref/city/01206.html,
1108,北海道,札幌市 厚別区,一部地域で実施,2021/08/17,https://www.city.sapporo.jp/shimin/koseki/jukyo-hyoji/jisshichiku/jukyohyoji-jisshichiku-atsubetsu.html,HTML,https://saigai.gsi.go.jp/jusho/view/pref/city/01108.html,
1101,北海道,札幌市 中央区,一部地域で実施,2021/08/17,https://www.city.sapporo.jp/shimin/koseki/jukyo-hyoji/jisshichiku/jukyohyoji-jisshichiku-chuo.html,HTML,https://saigai.gsi.go.jp/jusho/view/pref/city/01101.html,
1103,北海道,札幌市 東区,一部地域で実施,2021/08/17,https://www.city.sapporo.jp/shimin/koseki/jukyo-hyoji/jisshichiku/jukyohyoji-jisshichiku-higashi.html,HTML,https://saigai.gsi.go.jp/jusho/view/pref/city/01103.html,
1102,北海道,札幌市 北区,一部地域で実施,2021/08/17,https://www.city.sapporo.jp/shimin/koseki/jukyo-hyoji/jisshichiku/jukyohyoji-jisshichiku-kita.html,HTML,https://saigai.gsi.go.jp/jusho/view/pref/city/01102.html,
